task,noise,method,k,seed,n_edges,frac_edges,frac_syn,wall_s,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff
sugar,3.5,rand,1,1,7382052,0.5026188148601454,0.5027530684141701,571,37.0,14.3,0.3864864864864865,1.9519221295943137,118370,123454,0.9244922645954032,0.857241860050337,0.8580169228659515,3.018919908321131
sugar,3.5,rand,1,2,7382052,0.5026188148601454,0.5024544150101113,611,37.0,30.5,0.8243243243243243,3.0413812651491097,118370,123803,0.9256912030152912,0.8574163951144068,0.8585630841242978,2.981873265531692
sugar,3.5,mag,3,0,3428019,0.2334021552676763,0.686400230906606,601,37.0,38.0,1.027027027027027,16.655329477377503,118370,118708,0.9310429088065684,0.96290647468388,0.9628566130776512,1.4624661975043172
sugar,3.5,act,3,0,3428019,0.2334021552676763,0.5724369937825274,594,37.0,28.9,0.7810810810810811,5.769748694700662,118370,119189,0.9362224105891176,0.9995662862299654,0.9995688143593918,0.3544143057412056
sugar,3.5,rand,3,0,3428019,0.2334021552676763,0.233949453645353,1176,37.0,4.8,0.1297297297297297,2.08806130178211,118370,126409,0.9261955161749778,0.6979172130864009,0.6987660124982465,4.049870552963117
sugar,3.5,rand,3,1,3428019,0.2334021552676763,0.2333254769575554,826,37.0,3.0,0.081081081081081,1.4832396974191326,118370,126511,0.9269981664948576,0.7100355853370739,0.7114357852949158,4.034569047600312
sugar,3.5,rand,3,2,3428019,0.2334021552676763,0.2334372896704468,1267,37.0,37.6,1.0162162162162165,24.88453334905037,118370,126536,0.9267097261448656,0.7226979902083865,0.7240792791413103,3.9712227895304095
sugar,3.5,mag,10,0,895137,0.060946834034421,0.4067287727599152,1193,37.0,45.5,1.2297297297297298,22.6947130407062,118370,121279,0.9274925200270244,0.88288482943669,0.8828671498740469,2.454299778013705
sugar,3.5,act,10,0,895137,0.060946834034421,0.2093344048513117,1366,37.0,45.9,1.2405405405405403,15.61697794069006,118370,121747,0.9364586525589124,0.9851664225123768,0.9851747825461168,0.9895514443781352
sugar,3.5,rand,10,0,895137,0.060946834034421,0.0610431305938202,1455,37.0,0.6,0.0162162162162162,0.66332495807108,118370,127323,0.9288949950932288,0.1139348856007589,0.1177469354313792,4.502833366045142
sugar,3.5,rand,10,1,895137,0.060946834034421,0.0608190316261396,1278,37.0,2.5,0.0675675675675675,1.5652475842498528,118370,127328,0.9289796815626667,0.0758434564628071,0.0784392161571936,4.503884684232013
sugar,3.5,rand,10,2,895137,0.060946834034421,0.0610677737141779,1578,37.0,0.8,0.0216216216216216,0.9797958971132712,118370,127327,0.9289263984298332,0.0833206258757834,0.0858068776944223,4.503310696761531
sugar,3.5,mag,20,0,323821,0.0220478705984226,0.2519982378937735,1331,37.0,44.1,1.191891891891892,34.515069172754096,118370,122571,0.9252485057691692,0.7928366547428017,0.7931425179878447,3.1689567552018407
sugar,3.5,act,20,0,323821,0.0220478705984226,0.1115507116302401,892,37.0,38.5,1.0405405405405406,8.958236433584458,118370,122479,0.9333033657357982,0.9595045528340832,0.9594832646441628,1.5210035399224588
sugar,3.5,rand,20,0,323821,0.0220478705984226,0.0221386140856855,1390,37.0,0.7,0.0189189189189189,0.7810249675906655,118370,127330,0.9289196636755458,0.0259130667482692,0.0271466664995228,4.50580717083932
sugar,3.5,rand,20,1,323821,0.0220478705984226,0.0218883377218986,1085,37.0,0.6,0.0162162162162162,1.0198039027185568,118370,127332,0.9289202217023348,0.0320817080722921,0.0330619932197949,4.506092103816986
