task,noise,method,k,seed,n_edges,frac_edges,frac_syn,wall_s,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff,sugar100_bitter100__readout_full,sugar100_bitter100__readout,sugar100_bitter100__readout_ratio,sugar100_bitter100__readout_trial_sd,sugar100_bitter100__n_active_full,sugar100_bitter100__n_active,sugar100_bitter100__jaccard_active,sugar100_bitter100__pearson_union,sugar100_bitter100__pearson_fullactive,sugar100_bitter100__mean_abs_rate_diff,suppression_full,suppression,jonCE100__readout_full,jonCE100__readout,jonCE100__readout_ratio,jonCE100__readout_trial_sd,jonCE100__n_active_full,jonCE100__n_active,jonCE100__jaccard_active,jonCE100__pearson_union,jonCE100__pearson_fullactive,jonCE100__mean_abs_rate_diff,jonF100__readout_full,jonF100__readout,jonF100__readout_ratio,jonF100__readout_trial_sd,jonF100__n_active_full,jonF100__n_active,jonF100__jaccard_active,jonF100__pearson_union,jonF100__pearson_fullactive,jonF100__mean_abs_rate_diff,specificity_full,specificity
groom,0.0,mag,5,0,2071412,0.1410353983590312,0.5733365339714506,443,,,,,,,,,,,,,,,,,,,,,,,27.0,6.333333333333333,0.2345679012345679,0.4714045207910317,197.0,156.0,0.7053140096618358,0.8464947111140966,0.8427351955333009,4.930756843800323,0.3333333333333333,9.0,27.0,0.816496580927726,28.0,20.0,0.4545454545454545,0.672162769415646,0.6718496630792851,10.383838383838382,26.666666666666668,-2.666666666666667
groom,0.0,dp,5,0,2071412,0.1410353983590312,0.5733365339714506,438,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0,0.0,0.0,197.0,127.0,0.0,-0.2304345001341342,,8.984567901234568,0.3333333333333333,0.0,0.0,0.0,28.0,0.0,0.0,,,15.809523809523808,26.666666666666668,0.0
groom,0.0,dp,5,1,2071412,0.1410353983590312,0.5733365339714506,440,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0,0.0,0.0,197.0,99.0,0.0033898305084745,-0.1983474367645347,-0.0494168770129889,9.33446327683616,0.3333333333333333,0.0,0.0,0.0,28.0,0.0,0.0,,,15.809523809523808,26.666666666666668,0.0
groom,0.0,dp,5,2,2071412,0.1410353983590312,0.5733365339714506,438,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0,0.0,0.0,197.0,88.0,0.0,-0.2304869805217201,,9.68421052631579,0.3333333333333333,0.0,0.0,0.0,28.0,0.0,0.0,,,15.809523809523808,26.666666666666668,0.0
groom,0.0,mag,10,0,895137,0.060946834034421,0.4067287727599152,442,,,,,,,,,,,,,,,,,,,,,,,27.0,0.6666666666666666,0.0246913580246913,0.4714045207910317,197.0,119.0,0.5566502463054187,0.6346707117637883,0.6317939381516843,8.507389162561577,0.3333333333333333,0.3333333333333333,1.0,0.4714045207910317,28.0,10.0,0.2666666666666666,0.4076610003648147,0.4033315391328086,13.988888888888887,26.666666666666668,0.3333333333333333
groom,0.0,dp,10,0,895137,0.060946834034421,0.4067287727599152,441,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0,0.0,0.0,197.0,105.0,0.0033222591362126,-0.2435103978123738,-0.0509784947177626,9.248062015503876,0.3333333333333333,0.0,0.0,0.0,28.0,3.0,0.0,-0.2564903244569447,,14.311827956989246,26.666666666666668,0.0
groom,0.0,dp,10,1,895137,0.060946834034421,0.4067287727599152,434,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0,0.0,0.0,197.0,110.0,0.0032679738562091,-0.2439500256965149,-0.0119380520984217,9.214596949891067,0.3333333333333333,0.0,0.0,0.0,28.0,4.0,0.0,-0.2719945307718885,,13.895833333333332,26.666666666666668,0.0
groom,0.0,dp,10,2,895137,0.060946834034421,0.4067287727599152,439,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0,0.0,0.0,197.0,142.0,0.0029585798816568,-0.2345906514196419,-0.0525401124225362,8.499013806706113,0.3333333333333333,0.0,0.0,0.0,28.0,4.0,0.0,-0.2887480573330432,,13.874999999999998,26.666666666666668,0.0
groom,0.0,mag,31,0,150088,0.0102189814816706,0.1696945914260617,437,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0,0.0,0.0,197.0,16.0,0.0812182741116751,0.3821149799308254,0.3821149799308254,12.065989847715736,0.3333333333333333,0.0,0.0,0.0,28.0,0.0,0.0,,,15.809523809523808,26.666666666666668,0.0
groom,0.0,dp,31,0,150088,0.0102189814816706,0.1696945914260617,435,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0,0.0,0.0,197.0,17.0,0.0,-0.2033750881580379,,12.412772585669783,0.3333333333333333,0.0,0.0,0.0,28.0,0.0,0.0,,,15.809523809523808,26.666666666666668,0.0
groom,0.0,dp,31,1,150088,0.0102189814816706,0.1696945914260617,434,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0,0.0,0.0,197.0,16.0,0.0,-0.1884063773603891,,12.403755868544604,0.3333333333333333,0.0,0.0,0.0,28.0,0.0,0.0,,,15.809523809523808,26.666666666666668,0.0
groom,0.0,dp,31,2,150088,0.0102189814816706,0.1696945914260617,437,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0,0.0,0.0,197.0,21.0,0.0092592592592592,-0.1590857478166454,0.0557014661997521,12.23148148148148,0.3333333333333333,0.0,0.0,0.0,28.0,0.0,0.0,,,15.809523809523808,26.666666666666668,0.0
groom,3.5,mag,0,0,14687178,1.0,1.0,804,,,,,,,,,,,,,,,,,,,,,,,37.333333333333336,37.333333333333336,1.0,4.189935029992179,99502.0,99502.0,1.0,1.0,1.0,0.0,16.0,16.0,1.0,4.96655480858378,99624.0,99624.0,1.0,1.0,1.0,0.0,,
groom,3.5,mag,2,0,4770900,0.3248343555174452,0.7627094809660686,787,,,,,,,,,,,,,,,,,,,,,,,37.333333333333336,34.0,0.9107142857142856,2.8284271247461903,99502.0,100286.0,0.7568259160577202,0.9729461468342442,0.9730139953744024,1.602333781799316,16.0,15.0,0.9375,1.4142135623730951,99624.0,100609.0,0.7534305354875432,0.9728213126331582,0.9728863303734524,1.5659967599281928,21.333333333333336,19.0
groom,3.5,dp,2,0,4770900,0.3248343555174452,0.7627094809660686,774,,,,,,,,,,,,,,,,,,,,,,,37.333333333333336,2.0,0.0535714285714285,0.0,99502.0,116731.0,0.7281496755218823,0.0770075446904883,0.0988512867572673,4.8448685570580645,16.0,0.6666666666666666,0.0416666666666666,0.4714045207910317,99624.0,117060.0,0.7317956218380608,0.0752456905281915,0.0961745944075866,4.772657400969194,21.333333333333336,1.3333333333333337
groom,3.5,dp,2,1,4770900,0.3248343555174452,0.7627094809660686,771,,,,,,,,,,,,,,,,,,,,,,,37.333333333333336,3.333333333333333,0.0892857142857142,0.9428090415820634,99502.0,116355.0,0.7267178625709944,0.0716192065617557,0.0909079504825763,4.841652667786577,16.0,2.6666666666666665,0.1666666666666666,0.4714045207910317,99624.0,116653.0,0.7288052948793784,0.06648173823101,0.084622315012751,4.774738480066931,21.333333333333336,0.666666666666667
groom,3.5,dp,2,2,4770900,0.3248343555174452,0.7627094809660686,771,,,,,,,,,,,,,,,,,,,,,,,37.333333333333336,0.6666666666666666,0.0178571428571428,0.4714045207910317,99502.0,116257.0,0.7260443832898673,0.0642915198244812,0.0839326873147324,4.844181159768111,16.0,0.0,0.0,0.0,99624.0,116674.0,0.728973157903151,0.0701155481683731,0.0900653608124347,4.771991388360432,21.333333333333336,0.6666666666666666
groom,3.5,mag,5,0,2071412,0.1410353983590312,0.5733365339714506,775,,,,,,,,,,,,,,,,,,,,,,,37.333333333333336,17.333333333333332,0.4642857142857142,4.189935029992178,99502.0,102070.0,0.7505471219647758,0.9414772254825856,0.9416412839828208,2.133211171709452,16.0,11.333333333333334,0.7083333333333334,0.4714045207910317,99624.0,102421.0,0.7496254730297284,0.9419313449933744,0.9421480169855164,2.090036572306076,21.333333333333336,5.999999999999998
