task,noise,method,k,seed,n_edges,frac_edges,frac_syn,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff,wall_s
sugar,0.0,dp,20,0,323821,0.0220478705984226,0.2519982378937735,68.33333333333333,0.0,0.0,0.0,361,110,0.0064102564102564,-0.2556983117953975,-0.057417857705311,17.67663817663818,134
sugar,0.0,dp,20,1,323821,0.0220478705984226,0.2519982378937735,68.33333333333333,0.0,0.0,0.0,361,87,0.0044843049327354,-0.2434690563372944,-0.03927585683964,18.269805680119585,139
sugar,0.0,dp,20,2,323821,0.0220478705984226,0.2519982378937735,68.33333333333333,0.0,0.0,0.0,361,86,0.0,-0.2271971840753268,,18.15510812826249,113
sugar,0.0,act,20,0,323821,0.0220478705984226,0.24145293337328,68.33333333333333,71.66666666666667,1.048780487804878,4.189935029992178,361,368,0.9491978609625668,0.9971078403341028,0.9970141363484192,1.3155080213903745,89
sugar,0.0,mag,31,0,150088,0.0102189814816706,0.1696945914260617,68.33333333333333,6.333333333333333,0.0926829268292682,1.247219128924647,361,66,0.173076923076923,0.4707038979145885,0.4748395003548211,19.061355311355307,87
sugar,0.0,rand,31,0,150088,0.0102189814816706,0.0101525678121941,68.33333333333333,0.0,0.0,0.0,361,0,0.0,,,21.10156971375808,92
sugar,0.0,rand,31,1,150088,0.0102189814816706,0.0103111285812292,68.33333333333333,0.0,0.0,0.0,361,2,0.0055401662049861,0.1526327573334183,0.1526327573334183,21.072945521698987,86
sugar,0.0,rand,31,2,150088,0.0102189814816706,0.0102892698872301,68.33333333333333,0.0,0.0,0.0,361,0,0.0,,,21.10156971375808,89
sugar,0.0,dp,31,0,150088,0.0102189814816706,0.1696945914260617,68.33333333333333,0.0,0.0,0.0,361,59,0.0096153846153846,-0.1741791246501996,0.107244642158145,19.231570512820515,90
sugar,0.0,dp,31,1,150088,0.0102189814816706,0.1696945914260617,68.33333333333333,0.0,0.0,0.0,361,47,0.0,-0.2252428595959438,,19.64052287581699,92
sugar,0.0,dp,31,2,150088,0.0102189814816706,0.1696945914260617,68.33333333333333,0.0,0.0,0.0,361,67,0.0118203309692671,-0.2492639210380614,-0.0252377286763894,19.132387706855795,91
sugar,0.0,act,31,0,150088,0.0102189814816706,0.1551878058642633,68.33333333333333,72.33333333333333,1.0585365853658537,3.2998316455372216,361,348,0.9318801089918256,0.9983596215894324,0.99834965924001,1.0772025431425978,93
sugar,0.0,mag,50,0,61753,0.0042045517525558,0.1045522169820496,68.33333333333333,0.0,0.0,0.0,361,3,0.0083102493074792,0.2744118686928912,0.2744118686928912,20.723915050784857,105
sugar,0.0,rand,50,0,61753,0.0042045517525558,0.0042249597532005,68.33333333333333,0.0,0.0,0.0,361,0,0.0,,,21.10156971375808,91
sugar,0.0,rand,50,1,61753,0.0042045517525558,0.0041586449458428,68.33333333333333,0.0,0.0,0.0,361,0,0.0,,,21.10156971375808,165
sugar,0.0,rand,50,2,61753,0.0042045517525558,0.0042123256553692,68.33333333333333,0.0,0.0,0.0,361,0,0.0,,,21.10156971375808,98
sugar,0.0,dp,50,0,61753,0.0042045517525558,0.1045522169820496,68.33333333333333,0.0,0.0,0.0,361,18,0.0026455026455026,-0.1535495187948663,-0.0303383122784802,20.76102292768959,96
sugar,0.0,dp,50,1,61753,0.0042045517525558,0.1045522169820496,68.33333333333333,0.0,0.0,0.0,361,6,0.0,-0.1208495832732394,,21.166212534059948,91
sugar,0.0,dp,50,2,61753,0.0042045517525558,0.1045522169820496,68.33333333333333,0.0,0.0,0.0,361,81,0.011441647597254,-0.1577037283750265,-0.0288004585920603,18.098398169336384,89
sugar,0.0,act,50,0,61753,0.0042045517525558,0.0867075103498737,68.33333333333333,72.66666666666667,1.0634146341463415,3.681787005729087,361,351,0.9191374663072776,0.99686299532819,0.9968106795807384,1.2740341419586705,102
sugar,3.5,mag,0,0,14687178,1.0,1.0,49.333333333333336,49.333333333333336,1.0,36.05859429071275,99827,99827,1.0,1.0,1.0,0.0,192
sugar,3.5,mag,1,0,7382052,0.5026188148601454,0.861628670832863,49.333333333333336,29.0,0.5878378378378378,5.715476066494082,99827,99893,0.7589347048773184,0.9854551051289122,0.9855575021325736,1.2855259835954886,180
sugar,3.5,rand,1,0,7382052,0.5026188148601454,0.5028932368158975,49.333333333333336,43.0,0.8716216216216216,7.788880963698615,99827,108853,0.7331074347219454,0.8517429140856713,0.8546461438708476,3.365593094589507,181
sugar,3.5,rand,1,1,7382052,0.5026188148601454,0.5027530684141701,49.333333333333336,18.33333333333333,0.3716216216216216,2.6246692913372702,99827,108692,0.7338871288281321,0.8553443462685604,0.8583898268437846,3.34583946582849,171
sugar,3.5,rand,1,2,7382052,0.5026188148601454,0.5024544150101113,49.333333333333336,31.666666666666668,0.6418918918918919,0.9428090415820634,99827,108735,0.7342014235348899,0.855610006177735,0.8577285380769099,3.3154227366460454,173
sugar,3.5,dp,1,0,7382052,0.5026188148601454,0.861628670832863,49.333333333333336,0.3333333333333333,0.0067567567567567,0.4714045207910317,99827,116920,0.731953078803957,0.0615086030542052,0.0796968367243179,4.830200991908117,168
sugar,3.5,dp,1,1,7382052,0.5026188148601454,0.861628670832863,49.333333333333336,1.0,0.0202702702702702,0.816496580927726,99827,116663,0.7294158059130379,0.0597863479842408,0.0779336310324384,4.830418886785268,166
sugar,3.5,dp,1,2,7382052,0.5026188148601454,0.861628670832863,49.333333333333336,1.0,0.0202702702702702,0.816496580927726,99827,116804,0.7303348349787533,0.0606168672462666,0.0796255551694288,4.827736775402834,169
